File,Data,Algo,Size,Fun,Leaf,Param,ETst,TstTime,FunEvalTime
iris_2_2020_11_22_22_48_10_best_test_optPRM_adagrad_model.json,iris,_adagrad_,120,36,83,155,0.966666667,0,0
iris_2_2020_11_22_22_48_10_best_test_optPRM_adam_model.json,iris,_adam_,120,36,83,155,0.966666667,0,0
iris_2_2020_11_22_22_48_10_best_test_optPRM_gd_model.json,iris,_gd_,120,36,83,155,0.966666667,0,0
iris_2_2020_11_22_22_48_10_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,120,36,83,155,0.966666667,0,0
iris_2_2020_11_22_22_48_10_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,120,36,83,155,0.966666667,0.001,3.33E-05
iris_2_2020_11_22_22_48_10_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,120,36,83,155,0.966666667,0,0
iris_3_2020_11_21_10_27_54_best_test_optPRM_adagrad_model.json,iris,_adagrad_,130,42,87,171,1,0,0
iris_3_2020_11_21_10_27_54_best_test_optPRM_adam_model.json,iris,_adam_,130,42,87,171,1,0,0
iris_3_2020_11_21_10_27_54_best_test_optPRM_gd_model.json,iris,_gd_,130,42,87,171,1,0,0
iris_3_2020_11_21_10_27_54_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,130,42,87,171,1,0.002,6.67E-05
iris_3_2020_11_21_10_27_54_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,130,42,87,171,1,0,0
iris_3_2020_11_21_10_27_54_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,130,42,87,171,1,0,0
iris_4_2020_11_22_22_01_51_best_test_optPRM_adagrad_model.json,iris,_adagrad_,321,105,215,425,0.966666667,0.001,3.33E-05
iris_4_2020_11_22_22_01_51_best_test_optPRM_adam_model.json,iris,_adam_,321,105,215,425,1,0.001,3.33E-05
iris_4_2020_11_22_22_01_51_best_test_optPRM_gd_model.json,iris,_gd_,321,105,215,425,0.966666667,0.002,6.67E-05
iris_4_2020_11_22_22_01_51_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,321,105,215,425,0.966666667,0,0
iris_4_2020_11_22_22_01_51_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,321,105,215,425,0.966666667,0.001,3.33E-05
iris_4_2020_11_22_22_01_51_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,321,105,215,425,0.966666667,0,0
iris_5_2020_11_21_10_27_54_best_test_optPRM_adagrad_model.json,iris,_adagrad_,277,91,185,367,0.966666667,0,0
iris_5_2020_11_21_10_27_54_best_test_optPRM_adam_model.json,iris,_adam_,277,91,185,367,0.9,0,0
iris_5_2020_11_21_10_27_54_best_test_optPRM_gd_model.json,iris,_gd_,277,91,185,367,0.866666667,0.001,3.33E-05
iris_5_2020_11_21_10_27_54_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,277,91,185,367,0.966666667,0,0
iris_5_2020_11_21_10_27_54_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,277,91,185,367,0.966666667,0.001,3.33E-05
iris_5_2020_11_21_10_27_54_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,277,91,185,367,1,0,0
iris_6_2020_11_21_10_27_54_best_test_optPRM_adagrad_model.json,iris,_adagrad_,217,69,147,285,0.966666667,0,0
iris_6_2020_11_21_10_27_54_best_test_optPRM_adam_model.json,iris,_adam_,217,69,147,285,0.966666667,0,0
iris_6_2020_11_21_10_27_54_best_test_optPRM_gd_model.json,iris,_gd_,217,69,147,285,0.966666667,0.001,3.33E-05
iris_6_2020_11_21_10_27_54_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,217,69,147,285,0.966666667,0,0
iris_6_2020_11_21_10_27_54_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,217,69,147,285,0.966666667,0,0
iris_6_2020_11_21_10_27_54_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,217,69,147,285,1,0,0
iris_7_2020_11_22_23_48_33_best_test_optPRM_adagrad_model.json,iris,_adagrad_,228,72,155,299,0.833333333,0,0
iris_7_2020_11_22_23_48_33_best_test_optPRM_adam_model.json,iris,_adam_,228,72,155,299,0.866666667,0,0
iris_7_2020_11_22_23_48_33_best_test_optPRM_gd_model.json,iris,_gd_,228,72,155,299,0.8,0.001,3.33E-05
iris_7_2020_11_22_23_48_33_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,228,72,155,299,1,0,0
iris_7_2020_11_22_23_48_33_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,228,72,155,299,1,0.002,6.67E-05
iris_7_2020_11_22_23_48_33_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,228,72,155,299,1,0,0
iris_8_2020_11_23_11_23_37_best_test_optPRM_adagrad_model.json,iris,_adagrad_,267,90,176,356,1,0.001,3.33E-05
iris_8_2020_11_23_11_23_37_best_test_optPRM_adam_model.json,iris,_adam_,267,90,176,356,1,0,0
iris_8_2020_11_23_11_23_37_best_test_optPRM_gd_model.json,iris,_gd_,267,90,176,356,1,0.001,3.33E-05
iris_8_2020_11_23_11_23_37_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,267,90,176,356,1,0,0
iris_8_2020_11_23_11_23_37_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,267,90,176,356,1,0,0
iris_8_2020_11_23_11_23_37_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,267,90,176,356,1,0,0
iris_9_2020_11_23_20_53_57_best_test_optPRM_adagrad_model.json,iris,_adagrad_,174,60,113,233,0.966666667,0.001,3.33E-05
iris_9_2020_11_23_20_53_57_best_test_optPRM_adam_model.json,iris,_adam_,174,60,113,233,0.966666667,0,0
iris_9_2020_11_23_20_53_57_best_test_optPRM_gd_model.json,iris,_gd_,174,60,113,233,0.966666667,0,0
