data,algo,tttest_stat,tttest_p_val,tttest_p_val_Bon,tttest_p_val_Benjamin,tttest_p_val_Holm,wilcoxon_stat,wilcoxon_p_val,wilcoxon_p_val_Bon,wilcoxon_p_val_Benjamin,wilcoxon_p_val_Holm,ks_2samp_stat,ks_2samp_p_val,ks_2samp_p_val_Bon,ks_2samp_p_val_Benjamin,ks_2samp_p_val_Holm
glass,GP,2.170968389,0.034038881,0.340388809,0.037820979,0.068077762,112,0.03807165,0.380716503,0.042301834,0.076143301,0.3,0.135003503,1,0.135003503,0.141775976
glass,SGD,7.024132281,2.67E-09,2.67E-08,6.67E-09,1.87E-08,18,1.02E-05,0.000102243,2.04E-05,6.13E-05,0.7,2.50E-07,2.50E-06,5.00E-07,1.50E-06
glass,RMSprop,6.903957224,4.25E-09,4.25E-08,8.50E-09,2.55E-08,9,4.28E-06,4.28E-05,1.07E-05,3.00E-05,0.733333333,4.33E-08,4.33E-07,1.08E-07,3.03E-07
glass,NBC,14.55100562,5.14E-21,5.14E-20,2.57E-20,4.63E-20,0,1.73E-06,1.73E-05,8.66E-06,1.73E-05,0.966666667,1.01E-15,1.01E-14,5.07E-15,9.13E-15
baseball,NAG,-2.012422928,0.048826733,0.4394406,0.077865593,0.2929604,153,0.102010695,0.918096257,0.180667092,0.612064171,0.3,0.135003503,1,0.15187894,0.675017513
baseball,MGD,-1.999327546,0.050265213,0.452386913,0.077865593,0.2929604,157,0.120444728,1,0.180667092,0.612064171,0.3,0.135003503,1,0.15187894,0.675017513
baseball,Adam,-2.129612567,0.037458915,0.337130234,0.077865593,0.262212404,145,0.07190333,0.647129971,0.180667092,0.503323311,0.3,0.135003503,1,0.15187894,0.675017513
baseball,Adagrad,9.956478665,3.65E-14,3.28E-13,3.28E-13,3.28E-13,2,2.13E-06,1.91E-05,1.91E-05,1.91E-05,0.833333333,9.24E-11,8.31E-10,8.31E-10,8.31E-10
baseball,DT,6.364003535,3.40E-08,3.06E-07,1.53E-07,2.72E-07,16,8.47E-06,7.62E-05,3.81E-05,6.77E-05,0.666666667,1.28E-06,1.15E-05,5.74E-06,1.02E-05
baseball,SVM,0.66344965,0.509671135,1,0.518577703,1,194,0.428430029,1,0.481983782,1,0.366666667,0.034580085,0.311220765,0.077805191,0.20748051
baseball,GP,0.649502431,0.518577703,1,0.518577703,1,187,0.349345562,1,0.44915858,1,0.4,0.01564339,0.140790514,0.046930171,0.109503733
baseball,SGD,-1.224595502,0.225678277,1,0.290157785,0.677034832,199,0.490798493,1,0.490798493,1,0.266666667,0.239073002,1,0.239073002,0.675017513
baseball,RMSprop,-1.984739702,0.051910396,0.46719356,0.077865593,0.2929604,156,0.115608188,1,0.180667092,0.612064171,0.3,0.135003503,1,0.15187894,0.675017513
baseball,NBC,,,,,,,,,,,,,,,
dee,NAG,0.956771531,0.342653753,1,0.444530257,1,186,0.338856155,1,0.4356722,1,0.2,0.59407063,1,0.763805095,1
dee,MGD,0.972859851,0.334662949,1,0.444530257,1,183,0.308614851,1,0.4356722,1,0.2,0.59407063,1,0.763805095,1
dee,Adam,0.663289268,0.509773085,1,0.57349472,1,198,0.477947439,1,0.537690868,1,0.166666667,0.807963154,1,0.908958548,1
dee,Adagrad,21.72792283,1.50E-29,1.35E-28,1.35E-28,1.35E-28,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,1,1.69E-17,1.52E-16,1.52E-16,1.52E-16
dee,DT,11.20453567,3.88E-16,3.49E-15,1.75E-15,3.10E-15,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,0.9,5.79E-13,5.21E-12,2.60E-12,4.63E-12
dee,SVM,-0.082470079,0.934556869,1,0.934556869,1,228,0.926255087,1,0.926255087,1,0.133333333,0.95784629,1,0.95784629,1
dee,GP,1.610769815,0.112659344,1,0.337978032,0.788615408,143,0.065641143,0.590770291,0.19692343,0.459488004,0.366666667,0.034580085,0.311220765,0.103740255,0.242060595
dee,SGD,1.381144952,0.172532744,1,0.388198674,1,164,0.158855499,1,0.357424873,0.953132996,0.3,0.135003503,1,0.303757881,0.810021015
dee,RMSprop,0.9506124,0.345745756,1,0.444530257,1,181,0.289477072,1,0.4356722,1,0.233333333,0.392945014,1,0.707301025,1
dee,NBC,,,,,,,,,,,,,,,
diabetese,NAG,0.280160458,0.780351225,1,0.929968761,1,193,0.416533807,1,0.544006208,1,0.166666667,0.807963154,1,0.807963154,1
diabetese,MGD,0.233402455,0.816270715,1,0.929968761,1,197,0.465282582,1,0.544006208,1,0.2,0.59407063,1,0.807963154,1
diabetese,Adam,0.052532649,0.958284799,1,0.958284799,1,203,0.544006208,1,0.544006208,1,0.166666667,0.807963154,1,0.807963154,1
diabetese,Adagrad,12.93420344,9.78E-19,8.80E-18,4.40E-18,7.82E-18,2,2.13E-06,1.91E-05,9.57E-06,1.73E-05,0.933333333,2.99E-14,2.69E-13,1.35E-13,2.69E-13
diabetese,DT,14.33692991,1.01E-20,9.10E-20,9.10E-20,9.10E-20,1,1.92E-06,1.73E-05,9.57E-06,1.73E-05,0.933333333,2.99E-14,2.69E-13,1.35E-13,2.69E-13
diabetese,SVM,3.266493163,0.001831158,0.016480422,0.005493474,0.012818106,97,0.005319684,0.047877156,0.015959052,0.037237788,0.5,0.000899578,0.008096199,0.002698733,0.006297044
diabetese,GP,0.323763497,0.747281689,1,0.929968761,1,201,0.517047891,1,0.544006208,1,0.166666667,0.807963154,1,0.807963154,1
diabetese,SGD,0.467584039,0.641834208,1,0.929968761,1,180,0.280214408,1,0.544006208,1,0.233333333,0.392945014,1,0.807963154,1
diabetese,RMSprop,0.220006144,0.826638899,1,0.929968761,1,192,0.404834722,1,0.544006208,1,0.2,0.59407063,1,0.807963154,1
diabetese,NBC,,,,,,,,,,,,,,,
friedman,NAG,-0.304161597,0.762093383,1,0.762093383,0.762093383,195,0.440521591,1,0.49558679,0.881043182,0.333333333,0.070887988,0.637991891,0.079748986,0.141775976
friedman,MGD,-0.905150021,0.369130617,1,0.415271944,0.738261234,219,0.78126371,1,0.78126371,0.881043182,0.2,0.59407063,1,0.59407063,0.59407063
friedman,Adam,-6.042515903,1.16E-07,1.04E-06,5.22E-07,9.28E-07,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,1,1.69E-17,1.52E-16,1.52E-16,1.52E-16
friedman,Adagrad,7.337495291,7.94E-10,7.15E-09,7.15E-09,7.15E-09,39,6.89E-05,0.000620306,0.000206769,0.00048246,0.933333333,2.99E-14,2.69E-13,1.35E-13,2.39E-13
friedman,DT,3.097634992,0.00300516,0.027046438,0.006761609,0.018030958,61,0.000419551,0.003775959,0.00094399,0.002517306,0.766666667,6.53E-09,5.88E-08,1.47E-08,3.92E-08
friedman,SVM,-4.905832213,7.89E-06,7.10E-05,2.37E-05,5.52E-05,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,0.9,5.79E-13,5.21E-12,1.74E-12,4.05E-12
friedman,GP,1.856744755,0.068428362,0.615855261,0.102642543,0.273713449,89,0.003161765,0.028455884,0.004344241,0.01264706,0.733333333,4.33E-08,3.89E-07,6.49E-08,2.16E-07
friedman,SGD,1.419534766,0.161095672,1,0.207123007,0.483287017,90,0.003378854,0.03040969,0.004344241,0.01264706,0.733333333,4.33E-08,3.89E-07,6.49E-08,2.16E-07
friedman,RMSprop,-2.886656302,0.005461499,0.049153487,0.009830697,0.027307493,68,0.000715703,0.00644133,0.001288266,0.003578517,0.566666667,8.74E-05,0.000786402,0.000112343,0.000262134
friedman,NBC,,,,,,,,,,,,,,,
mpg6,NAG,1.775156871,0.081119061,0.730071545,0.121678591,0.387451349,107,0.009842142,0.088579282,0.017715856,0.049210712,0.333333333,0.070887988,0.637991891,0.106331982,0.283551951
mpg6,MGD,1.797326616,0.07749027,0.697412428,0.121678591,0.387451349,112,0.01319417,0.118747529,0.019791255,0.052776679,0.366666667,0.034580085,0.311220765,0.062244153,0.172900425
mpg6,Adam,-0.843289252,0.402531153,1,0.517540054,1,199,0.490798493,1,0.490798493,0.71080856,0.2,0.59407063,1,0.59407063,1
mpg6,Adagrad,22.47077007,2.61E-30,2.35E-29,2.35E-29,2.35E-29,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,1,1.69E-17,1.52E-16,1.52E-16,1.52E-16
mpg6,DT,7.244691378,1.14E-09,1.02E-08,3.41E-09,7.96E-09,0,1.73E-06,1.56E-05,7.80E-06,1.56E-05,0.866666667,8.25E-12,7.42E-11,2.47E-11,5.77E-11
mpg6,SVM,0.629957146,0.531196647,1,0.597596228,1,175,0.236936187,1,0.30463224,0.71080856,0.2,0.59407063,1,0.59407063,1
mpg6,GP,7.318477156,8.55E-10,7.69E-09,3.41E-09,6.84E-09,24,1.80E-05,0.000161896,5.40E-05,0.000125919,0.9,5.79E-13,5.21E-12,2.60E-12,4.63E-12
mpg6,SGD,2.695941014,0.009170546,0.082534911,0.020633728,0.055023274,80,0.001708773,0.015378959,0.00384474,0.010252639,0.433333333,0.006548396,0.058935567,0.014733892,0.039290378
mpg6,RMSprop,0.213872346,0.831396691,1,0.831396691,1,187,0.349345562,1,0.393013758,0.71080856,0.2,0.59407063,1,0.59407063,1
mpg6,NBC,,,,,,,,,,,,,,,
