Experiment,mean_r2_all,std_r2_all,mean_prm_all,std_prm_all,mean_r2_cls,std_r2_cls,mean_prm_cls,std_prm_cls,mean_r2_reg,std_r2_reg,mean_prm_reg,std_prm_reg
M-S-ES-No-Rg-No-R,-0.20993690544285679,2.7731559365544847,1637.9285714285713,876.8688162434006,0.837998757555555,0.12010905460367029,1969.5555555555557,888.3099668887287,-2.09622109884,4.003503917060927,1041.0,423.78923468658513
M-S-ES-No-Rg-No-G,0.8118120759452383,0.14313884245259506,1637.9285714285713,876.8688162434006,0.8542275205999992,0.11154939626615062,1969.5555555555557,888.3099668887287,0.7354642755666668,0.1613167546612165,1041.0,423.78923468658513
M-S-ES-No-Rg-El-lr-A,0.30372997178809524,0.27333275825318354,1637.9285714285713,876.8688162434003,0.48117932338148134,0.16602840169800334,1969.5555555555557,888.3099668887287,-0.015678861080000005,0.02368546631405489,1041.0,423.7892346865852
M-S-ES-No-Rg-El-lr-D,0.4419738145761905,0.4043585610249635,1637.9285714285713,876.8688162434003,0.7011614237259259,0.25525763933212037,1969.5555555555557,888.3099668887287,-0.02456388189333333,0.03618828211762189,1041.0,423.7892346865852
M-S-ES-No-Rg-El-lr-M,0.4287531115500001,0.4142055640463406,1637.9285714285713,876.8688162434003,0.6992768195777778,0.2406740166058018,1969.5555555555557,888.3099668887287,-0.058189562900000005,0.08102950441891435,1041.0,423.7892346865852
M-S-ES-No-Rg-El-lr-N,0.4293987600809528,0.42768968878402963,1637.9285714285713,876.8688162434003,0.7108333284296299,0.2373238657467111,1969.5555555555557,888.3099668887287,-0.07718346294666668,0.10403794319465891,1041.0,423.7892346865852
M-S-ES-No-Rg-El-lr-R,0.42560620474285704,0.4082371387762384,1637.9285714285713,876.8688162434003,0.6841464263148146,0.26471736599681406,1969.5555555555557,888.3099668887287,-0.03976619408666665,0.054706292978924966,1041.0,423.7892346865852
M-S-ES-No-Rg-El-lr-G,0.4678358550523806,0.4200572436968255,1637.9285714285713,876.8688162434003,0.7428147235222214,0.24782813707927082,1969.5555555555557,888.3099668887287,-0.02712610819333334,0.04066409379529011,1041.0,423.7892346865852
M-S-ES-No-Rg-El-A,0.4309670064976192,0.3938488606346009,1637.9285714285713,876.8688162434003,0.6809425134000006,0.2559175459210793,1969.5555555555557,888.3099668887287,-0.01898890592666667,0.03014728149109889,1041.0,423.7892346865852
M-S-ES-No-Rg-El-D,-1.1289080101809532,2.8388154842095004,1637.9285714285713,876.8688162434003,0.5105663164703704,0.20241674379575897,1969.5555555555557,888.3099668887287,-4.0799617981533345,2.991724621120178,1041.0,423.7892346865852
M-S-ES-No-Rg-El-M,0.27427123519761903,0.37366257228759847,1637.9285714285713,876.8688162434003,0.49238838514444455,0.200626970845459,1969.5555555555557,888.3099668887287,-0.1183396347066667,0.2803162300422398,1041.0,423.7892346865852
M-S-ES-No-Rg-El-N,0.336911307202381,0.36730485754171466,1637.9285714285713,876.8688162434003,0.5693367668259257,0.22534917621146952,1969.5555555555557,888.3099668887287,-0.08145452011999998,0.11665749799805518,1041.0,423.7892346865852
M-S-ES-No-Rg-El-R,-0.6786452422000003,2.892747562707695,1637.9285714285713,876.8688162434003,0.5157565760666667,0.1959475453551076,1969.5555555555557,888.3099668887287,-2.8285685150800006,4.027883051874697,1041.0,423.7892346865852
M-S-ES-No-Rg-El-G,0.4245764948833336,0.4224870406289569,1637.9285714285713,876.8688162434003,0.7015926354888888,0.23295517011434813,1969.5555555555557,888.3099668887287,-0.07405255820666665,0.1208894410095432,1041.0,423.7892346865852
NBC-NBC,0.7816661027629623,,,,0.7816661027629623,,,,,,,
