exp,data,algo,error_trn,error_tst,corr_trn,corr_tst,r2_trn,r2_tst,tree_size,func_node,leaf_node,train_param,compute_time,problem
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.44021737575531006,0.4637681245803833,,,0.5597826242446899,0.5362318754196167,,,,1702,0.00033191969429237253,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.44021737575531006,0.4637681245803833,,,0.5597826242446899,0.5362318754196167,,,,1702,0.00031063090200009555,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.14492756128311157,0.2246376872062683,,,0.8550724387168884,0.7753623127937317,,,,1702,0.0003320816634357839,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.4221014380455017,0.4637681245803833,,,0.5778985619544983,0.5362318754196167,,,,1702,0.0003114424753880155,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.012681186199188232,0.2028985619544983,,,0.9873188138008118,0.7971014380455017,,,,1702,0.00031886800475742507,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.04710143804550171,0.19565218687057495,,,0.9528985619544983,0.804347813129425,,,,1702,0.0003117284049158511,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.5634058117866516,0.52173912525177,,,0.4365941882133484,0.47826087474823,,,,1702,0.00040851252666418105,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5634058117866516,0.52173912525177,,,0.4365941882133484,0.47826087474823,,,,1702,0.0003208034280417622,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.15942031145095825,0.13768118619918823,,,0.8405796885490417,0.8623188138008118,,,,1702,0.0003474108550859534,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.17934781312942505,0.1666666865348816,,,0.820652186870575,0.8333333134651184,,,,1702,0.00032041038292041725,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.00724637508392334,0.13768118619918823,,,0.9927536249160767,0.8623188138008118,,,,1702,0.00028968893963357675,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.04891306161880493,0.2028985619544983,,,0.9510869383811951,0.7971014380455017,,,,1702,0.00029807591783827627,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.5615941882133484,0.5289855003356934,,,0.4384058117866516,0.47101449966430664,,,,1702,0.00030212298683498216,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5615941882133484,0.5289855003356934,,,0.4384058117866516,0.47101449966430664,,,,1702,0.00035246299660724145,class
