index,Problem,Data,Algo,AccTst,Param
876,class,ionosphere,MGD,0.30985915660858154,3602
877,class,vehicle,MGD,0.8470588326454163,2304
878,reg,friedman,MGD,0.9398042613980818,701
879,reg,dee,MGD,0.8537767216054024,801
880,class,pima,MGD,0.6558441519737244,1102
881,reg,diabetese,MGD,0.5046241614745026,1201
882,class,wine,NAG,1.0,1703
883,reg,dee,NAG,0.8448847461027337,801
884,class,pima,NAG,0.6753246784210205,1102
885,class,australian,NAG,0.8695651888847351,1702
886,class,iris,NAG,1.0,803
887,class,heart,NAG,0.8518518805503845,1602
888,class,vehicle,NAG,0.8058823347091675,2304
889,reg,diabetese,NAG,0.40248529217979745,1201
890,reg,baseball,NAG,0.8214393373919011,1801
891,class,wisconsin,NAG,0.9824561476707458,3302
892,class,glass,NAG,0.6976743936538696,1606
893,class,ionosphere,NAG,0.39436620473861694,3602
894,reg,friedman,NAG,0.9483968642607331,701
895,reg,mpg6,NAG,0.8490219314145391,701
896,reg,dee,RMSprop,0.7614353073969222,801
897,class,wine,RMSprop,0.9722222089767456,1703
898,reg,baseball,RMSprop,0.255492756570882,1801
899,class,heart,RMSprop,0.7407407164573669,1602
900,class,iris,RMSprop,0.9333333373069763,803
901,class,pima,RMSprop,0.6623376607894897,1102
902,class,vehicle,RMSprop,0.770588219165802,2304
903,reg,diabetese,RMSprop,-6.650957942642082,1201
904,class,glass,RMSprop,0.6976743936538696,1606
905,class,australian,RMSprop,0.8333333134651184,1702
906,reg,friedman,RMSprop,0.6985493067942286,701
907,class,ionosphere,RMSprop,0.9014084339141846,3602
908,class,wisconsin,RMSprop,0.9473684430122375,3302
909,reg,mpg6,RMSprop,-7.523942390489532,701
910,reg,dee,SGD,0.7907686737660634,801
911,class,wisconsin,SGD,0.9473684430122375,3302
912,reg,mpg6,SGD,0.7842072199300633,701
913,class,heart,SGD,0.8148148059844971,1602
914,class,pima,SGD,0.7532467246055603,1102
915,reg,friedman,SGD,0.8870235689463635,701
916,reg,baseball,SGD,0.6984409448385571,1801
917,class,glass,SGD,0.6976743936538696,1606
918,class,wine,SGD,0.9444444179534912,1703
919,class,vehicle,SGD,0.8588235378265381,2304
920,class,iris,SGD,1.0,803
921,class,ionosphere,SGD,0.9295774698257446,3602
922,class,australian,SGD,0.804347813129425,1702
923,reg,diabetese,SGD,0.5484643226053557,1201
924,class,pima,Adagrad,0.7597402334213257,1102
